target,model,RMSE,MAE,R2
ICLN_target,linreg,0.016351228257715608,0.012442766002524207,-0.05715090364148634
ICLN_target,naive,0.015938282036749424,0.01211946406345475,-0.004428988523672572
ICLN_target,rf,0.016238471891732272,0.01223245960922458,-0.04262116982262509
XLE_target,linreg,0.012148499739078097,0.00958652798644488,-0.09620873203452018
XLE_target,naive,0.011603163644611947,0.008957122841602508,-1.8293615662301477e-06
XLE_target,rf,0.012587877803490992,0.009592532901447898,-0.17693640464779214
