target,model,mean_n,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_R2,std_R2
ICLN_target,linear_regression,231.0,0.02145286704588358,0.007432623638891663,0.015337399395986061,0.0039259936499560655,-0.2961024163858473,0.3606767503693513
ICLN_target,naive,231.0,0.019444914730438335,0.0070162677954946715,0.014150725557819937,0.004420459891931316,-0.006826191977174023,0.006721613160178804
ICLN_target,random_forest,231.0,0.019902431563079435,0.007103238797833298,0.01453652094848742,0.00453669425843224,-0.058644526975240696,0.0213410025829794
XLE_target,linear_regression,231.0,0.024926262377158705,0.01003514815963799,0.018041808064819212,0.005346348115089764,-0.3425680865471349,0.3096670580821716
XLE_target,naive,231.0,0.02213526991074475,0.009947041567581668,0.01615149641432222,0.005543002538962209,-0.004988829366687897,0.005878215997809508
XLE_target,random_forest,231.0,0.02399852408508422,0.010309863143484472,0.01723143065567434,0.005860189342200677,-0.1924727066967283,0.17768928763208663
